Cora    GcnHyper
run     train   valid   m-f1    w-f1   
   0 1.000000 0.837037 0.839022 0.837719
   1 1.000000 0.833333 0.841790 0.840722
   2 1.000000 0.825926 0.838561 0.838556
   3 1.000000 0.833333 0.835793 0.833279
   4 1.000000 0.837037 0.842712 0.841641
   5 1.000000 0.840741 0.841790 0.841990
   6 1.000000 0.829630 0.838100 0.836840
   7 1.000000 0.829630 0.835332 0.834719
   8 1.000000 0.829630 0.841328 0.840099
   9 1.000000 0.825926 0.839483 0.836911
std  0.000000 0.004699 0.002413 0.002763
mean 1.000000 0.832222 0.839391 0.838248
